Date,pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),rain accumulation (max),solar radiation units (max)
21/05/2021,9.057867821,18.64468085,14.979,105.5663172,0.331628415,19.64374962,0.102332896,-8.424695394,2.010577125,0,92.49655172
21/05/2021,9.059409913,18.59042553,14.5405,105.5287418,0.331661202,19.64766758,0.102332896,-8.38808321,2.010897167,0,76.66034483
21/05/2021,9.060952006,18.52851064,14.09975,105.4913499,0.331693989,19.65152127,0.102332896,-8.351419019,2.011214586,0,62.25
21/05/2021,9.062509835,18.45957447,13.6625,105.4556356,0.331726776,19.655427,0.102332896,-8.315185736,2.011532004,0,49.32068966
21/05/2021,9.064067663,18.38489362,13.2315,105.4192136,0.331770492,19.65817876,0.102332896,-8.278952452,2.0118468,0,38.02586207
21/05/2021,9.065617624,18.30531915,12.80975,105.3803145,0.331803279,19.66102541,0.102332896,-8.242956909,2.012161595,0,28.28275862
21/05/2021,9.067151849,18.22106383,12.3985,105.342713,0.331825137,19.66337313,0.102332896,-8.207481426,2.01247639,0,20.21896552
21/05/2021,9.068670338,18.13297872,12,105.3052949,0.331836066,19.66580655,0.102332896,-8.171679049,2.012788562,0,13.84137931
21/05/2021,9.070165224,18.04212766,11.6105,105.2661468,0.331846995,19.66772268,0.102332896,-8.136114413,2.013098111,0,9.162068966
21/05/2021,9.071636507,17.94957447,11.23625,105.2262647,0.331857923,19.6705877,0.102332896,-8.101307578,2.013410283,0,6.048275862
21/05/2021,9.073084186,17.85574468,10.877,105.1843119,0.331879781,19.67356902,0.102332896,-8.06731055,2.013719832,0,5.587931034
21/05/2021,9.074508261,17.7606383,10.53375,105.1402097,0.33189071,19.67617998,0.102332896,-8.033930163,2.014029381,0,5.401724138
21/05/2021,9.075900865,17.66468085,10.22,105.0967628,0.33189071,19.67890113,0.102332896,-8.000936107,2.01433893,0,5.410344828
21/05/2021,9.077261998,17.56851064,9.9365,105.0504194,0.331912568,19.68144781,0.102332896,-7.968796434,2.014645855,0,5.444827586
21/05/2021,9.07859166,17.47255319,9.6815,105.0008126,0.331901639,19.68415978,0.102332896,-7.93756315,2.014952781,0,5.479310345
21/05/2021,9.079881983,17.37808511,9.4505,104.9529227,0.331901639,19.68681053,0.102332896,-7.907236256,2.015259706,0,5.503448276
21/05/2021,9.081132966,17.28553191,9.24025,104.9006946,0.331901639,19.68925926,0.102332896,-7.878246657,2.015566632,0.003333333,5.532758621
21/05/2021,9.082336743,17.19468085,9.05175,104.8478768,0.33189071,19.69170187,0.102332896,-7.850965825,2.015873557,0.003333333,5.563793103
21/05/2021,9.08350118,17.10574468,8.88475,104.7939974,0.331879781,19.69424242,0.102332896,-7.825876672,2.016180483,0.003333333,5.59137931
21/05/2021,9.084610543,17.01851064,8.73775,104.7368676,0.331868852,19.69677992,0.102332896,-7.802117385,2.016487408,0,5.617241379
21/05/2021,9.085664831,16.93297872,8.6105,104.6687811,0.33189071,19.69906948,0.102280472,-7.78064636,2.016796957,0,5.636206897
21/05/2021,9.086656176,16.84893617,8.5,104.6004194,0.33189071,19.70138353,0.102201835,-7.761456166,2.017106506,0,5.656896552
21/05/2021,9.087576711,16.76595745,8.405,104.5301835,0.331901639,19.70358739,0.102123198,-7.744977712,2.017416055,0,5.681034483
22/05/2021,9.088402832,16.68446809,8.3245,104.45827,0.331879781,19.70581573,0.102044561,-7.731367013,2.017725603,0,5.70862069
22/05/2021,9.08913454,16.60425532,8.25575,104.3858585,0.33189071,19.70794919,0.101952818,-7.720178306,2.018037775,0,5.736206897
22/05/2021,9.089763965,16.52510638,8.1975,104.314574,0.331912568,19.71004285,0.101861075,-7.711225854,2.018349948,0,5.765517241
22/05/2021,9.090275374,16.44723404,8.15,104.2393316,0.331923497,19.71209979,0.101743119,-7.704702823,2.01866212,0,5.794827586
22/05/2021,9.090660897,16.37021277,8.11175,104.1558847,0.331934426,19.7141506,0.101625164,-7.70051263,2.018974292,0,5.820689655
22/05/2021,9.090912667,16.29361702,8.08125,104.0761992,0.331967213,19.7162259,0.101520315,-7.698231798,2.019289087,0,5.851724138
22/05/2021,9.091030685,16.21765957,8.05875,103.9966317,0.331978142,19.71828283,0.101415465,-7.697711738,2.019603882,0,5.884482759
22/05/2021,9.09097561,16.14191489,8.043,103.9163041,0.332,19.72030609,0.101323722,-7.698372957,2.019918678,0,5.920689655
22/05/2021,9.090747443,16.06638298,8.034,103.8340891,0.332010929,19.72236915,0.101231979,-7.699710253,2.020233473,0,5.95
22/05/2021,9.090338316,15.9912766,8.03275,103.7512713,0.332010929,19.72431589,0.101153342,-7.701901932,2.020548269,0,5.951724138
22/05/2021,9.089740362,15.91787234,8.0405,103.6680079,0.332032787,19.72618916,0.101087811,-7.751567608,2.020863064,0,5.95862069
22/05/2021,9.089000787,15.84765957,8.058,103.5845216,0.332065574,19.72804408,0.101035387,-7.773514116,2.021177859,0,6.067241379
22/05/2021,9.088127459,15.78234043,8.085,103.4988598,0.332065574,19.72989899,0.100982962,-7.795178306,2.021492655,0,6.372413793
22/05/2021,9.087136113,15.72297872,8.12225,103.4147313,0.332076503,19.73174778,0.10095675,-7.817652303,2.02180745,0,6.982758621
22/05/2021,9.086042486,15.67042553,8.1745,103.3283355,0.332098361,19.73357821,0.100943644,-7.842265973,2.022122246,0,7.803448276
22/05/2021,9.084854445,15.62531915,8.249,103.2430013,0.33210929,19.73543006,0.100943644,-7.86859584,2.022437041,0,8.803448276
22/05/2021,9.083595594,15.58851064,8.34825,103.1558322,0.332131148,19.73725436,0.100943644,-7.896307578,2.022749213,0,9.951724138
22/05/2021,9.082258065,15.5606383,8.476,103.069633,0.332153005,19.73907867,0.100943644,-7.924687964,2.023061385,0,17.82586207
22/05/2021,9.08086546,15.54234043,8.6315,102.9828047,0.332163934,19.74091215,0.100943644,-7.95320208,2.023373557,0,27.33793103
22/05/2021,9.079409913,15.53425532,8.8205,102.8968938,0.332185792,19.74275788,0.100943644,-7.982726597,2.023685729,0,38.45344828
22/05/2021,9.077915028,15.53617021,9.0435,102.8098952,0.33220765,19.74457606,0.100943644,-8.011864785,2.023995278,0,51.0637931
22/05/2021,9.076372935,15.54787234,9.301,102.722464,0.332218579,19.74642485,0.100943644,-8.041575037,2.024304827,0,65.08103448
22/05/2021,9.074791503,15.57,9.59075,102.6360288,0.332251366,19.74830119,0.100943644,-8.072043091,2.024614376,0,80.54310345
22/05/2021,9.073170732,15.60297872,9.9085,102.5501835,0.332284153,19.75018978,0.100943644,-8.102414562,2.024923924,0,97.19655172
22/05/2021,9.071518489,15.64851064,10.2515,102.4656619,0.332295082,19.75205081,0.100943644,-8.133603269,2.02523085,0,114.9293103
